
="",="All",="Salariat",="Intermediate",="Farming",="Working",="Military"

="age_pl",="44.34",="43.28",="44.04",="47.21",="42.78",="43.23"
="",="(9.339)",="(9.112)",="(9.333)",="(9.217)",="(9.230)",="(8.929)"

="male",="0.525",="0.532",="0.522",="0.564",="0.496",="0.453"
="",="(0.499)",="(0.499)",="(0.500)",="(0.496)",="(0.500)",="(0.498)"

="female",="0.475",="0.468",="0.478",="0.436",="0.504",="0.547"
="",="(0.499)",="(0.499)",="(0.500)",="(0.496)",="(0.500)",="(0.498)"

="white",="0.822",="0.864",="0.861",="0.772",="0.792",="0.820"
="",="(0.382)",="(0.343)",="(0.346)",="(0.420)",="(0.406)",="(0.385)"

="black",="0.117",="0.0717",="0.0801",="0.133",="0.152",="0.101"
="",="(0.322)",="(0.258)",="(0.272)",="(0.339)",="(0.359)",="(0.302)"

="other",="0.0607",="0.0646",="0.0591",="0.0955",="0.0557",="0.0792"
="",="(0.239)",="(0.246)",="(0.236)",="(0.294)",="(0.229)",="(0.270)"

="Both US born",="0.817",="0.809",="0.806",="0.789",="0.851",="0.823"
="",="(0.386)",="(0.393)",="(0.396)",="(0.408)",="(0.356)",="(0.382)"

="One US born",="0.0565",="0.0554",="0.0625",="0.0460",="0.0564",="0.0818"
="",="(0.231)",="(0.229)",="(0.242)",="(0.209)",="(0.231)",="(0.274)"

="Neither",="0.126",="0.135",="0.132",="0.165",="0.0924",="0.0948"
="",="(0.332)",="(0.342)",="(0.338)",="(0.371)",="(0.290)",="(0.293)"

="foreign",="0.0767",="0.103",="0.0874",="0.134",="0.0485",="0.142"
="",="(0.266)",="(0.304)",="(0.282)",="(0.341)",="(0.215)",="(0.350)"

="new england",="0.0519",="0.0636",="0.0562",="0.0125",="0.0485",="0.0382"
="",="(0.222)",="(0.244)",="(0.230)",="(0.111)",="(0.215)",="(0.192)"

="middle atlantic",="0.158",="0.171",="0.167",="0.0411",="0.212",="0.0543"
="",="(0.365)",="(0.377)",="(0.373)",="(0.199)",="(0.409)",="(0.227)"

="e. nor. central",="0.190",="0.172",="0.184",="0.130",="0.182",="0.0494"
="",="(0.392)",="(0.377)",="(0.388)",="(0.336)",="(0.386)",="(0.217)"

="w. nor. central",="0.0769",="0.0717",="0.0691",="0.153",="0.0691",="0.0570"
="",="(0.266)",="(0.258)",="(0.254)",="(0.360)",="(0.254)",="(0.232)"

="south atlantic",="0.154",="0.133",="0.147",="0.170",="0.162",="0.284"
="",="(0.361)",="(0.340)",="(0.354)",="(0.375)",="(0.369)",="(0.452)"

="e. sou. central",="0.0665",="0.0415",="0.0516",="0.131",="0.0515",="0.0470"
="",="(0.249)",="(0.199)",="(0.221)",="(0.338)",="(0.221)",="(0.212)"

="w. sou. central",="0.0817",="0.0664",="0.0788",="0.127",="0.0604",="0.0855"
="",="(0.274)",="(0.249)",="(0.269)",="(0.333)",="(0.238)",="(0.280)"

="mountain",="0.0433",="0.0464",="0.0512",="0.0509",="0.0352",="0.0656"
="",="(0.203)",="(0.210)",="(0.220)",="(0.220)",="(0.184)",="(0.248)"

="pacific",="0.101",="0.131",="0.108",="0.0508",="0.131",="0.177"
="",="(0.302)",="(0.338)",="(0.310)",="(0.220)",="(0.337)",="(0.382)"

="country nonfarm",="0.116",="0.0821",="0.108",="0.0999",="0.0759",="0.0731"
="",="(0.320)",="(0.274)",="(0.311)",="(0.300)",="(0.265)",="(0.261)"

="farm",="0.130",="0.0333",="0.0562",="0.702",="0.0376",="0.0216"
="",="(0.336)",="(0.179)",="(0.230)",="(0.458)",="(0.190)",="(0.146)"

="town lt 50000",="0.316",="0.300",="0.342",="0.149",="0.320",="0.371"
="",="(0.465)",="(0.458)",="(0.475)",="(0.356)",="(0.467)",="(0.484)"

="50000 to 250000",="0.160",="0.193",="0.177",="0.0244",="0.194",="0.252"
="",="(0.367)",="(0.395)",="(0.382)",="(0.154)",="(0.396)",="(0.435)"

="big-city suburb",="0.123",="0.223",="0.136",="0.00859",="0.148",="0.151"
="",="(0.328)",="(0.416)",="(0.343)",="(0.0923)",="(0.356)",="(0.358)"

="city gt 250000",="0.156",="0.168",="0.180",="0.0170",="0.224",="0.131"
="",="(0.363)",="(0.374)",="(0.384)",="(0.129)",="(0.417)",="(0.338)"

="Protestant",="0.590",="0.541",="0.549",="0.688",="0.581",="0.589"
="",="(0.492)",="(0.498)",="(0.498)",="(0.463)",="(0.494)",="(0.493)"

="Catholic",="0.313",="0.303",="0.344",="0.254",="0.330",="0.312"
="",="(0.464)",="(0.460)",="(0.475)",="(0.435)",="(0.470)",="(0.464)"

="Jewish",="0.0216",="0.0453",="0.0326",="0.00124",="0.0195",="0.00383"
="",="(0.145)",="(0.208)",="(0.178)",="(0.0352)",="(0.138)",="(0.0619)"

="None",="0.0498",="0.0646",="0.0451",="0.0372",="0.0505",="0.0630"
="",="(0.218)",="(0.246)",="(0.207)",="(0.189)",="(0.219)",="(0.243)"

="Other",="0.0262",="0.0462",="0.0291",="0.0198",="0.0191",="0.0318"
="",="(0.160)",="(0.210)",="(0.168)",="(0.139)",="(0.137)",="(0.176)"

="Years of Education",="13.50",="15.50",="13.97",="11.57",="13.46",="14.37"
="",="(3.043)",="(2.576)",="(2.752)",="(3.569)",="(2.480)",="(2.747)"

="Father's Years of Education",="10.90",="13.68",="11.31",="8.299",="11.49",="12.16"
="",="(3.479)",="(2.835)",="(2.980)",="(3.802)",="(2.477)",="(2.476)"

